artist	album	track_no	title	length	file	size
Everything But the Girl	(Live)	None	Back to the old house	2:58	1980s\The Smiths\Everything but the Girl - Back to the Old House(Smiths Cover).mp3	4278985
Reprises	None	None	The Boy With The Thorn In His Side (The Smiths) - Jeff Buckley 	3:50	1980s\The Smiths\Jeff Buckley - the boy with the thorn in his side (live smiths cover).mp3	5533696
Circle Jerks	None	None	I Wanna Destroy You	3:05	1980s\The Soft Boys\Circle Jerks - I Wanna Destroy You (with Debbie Gibson).mp3	2963458
no artist	no title	11	AudioTrack 11	5:06	1980s\The Soft Boys\insanely_jealous.mp3	4894430
no artist	no title	5	AudioTrack 05	2:41	1980s\The Soft Boys\i_wanna_destroy_you.mp3	2573920
no artist	no title	1	AudioTrack 01	4:25	1980s\The Soft Boys\kingdom_of_love.mp3	4244503
no artist	no title	8	AudioTrack 08	2:33	1980s\The Soft Boys\queen_of_eyes.mp3	2452294
The Soft Boys	1976-1981	15	We Like Bananas	2:51	1980s\The Soft Boys\We Like Bananas.mp3	3422208
Young Sportsmen	Let's Go Pop	3	Under the Rocks and Stars	3:17	1990s\03 Under the Rocks and Stars.mp3	3940944
Weezer	Let's Go Pop	15	You Gave Your Love To Me Softly (El Scorcho)	1:57	1990s\15 You Gave Your Love To Me Softly (.mp3	2355824
Belle & Sebastian	The Boy With the Arab Strap	5	A Summer Wasting	0:06	1990s\A Summer Wasting-Belle & Sebastian.mp3	160246
Ace of Base	None	None	The Sign	3:12	1990s\Ace Of Base - I Saw The Sign.mp3	3078556
Bare Naked Ladies	Stunt	None	One Week	2:48	1990s\Barenaked Ladies - One Week.mp3	2692658
None	None	None	None	5:07	1990s\BAZ LUHRMANN - EVERYBODY'S FREE (TO WEAR SUNSCREEN).MP3	4912274
None	None	None	None	3:28	1990s\Belly - FeedTheTrees.mp3	3332096
The Verve	None	None	Bittersweet Symphoy	5:58	1990s\Bittersweet Symphony-The Verve.mp3	7159808
Bob Dylan	Essential Bob Dylan	29	Blind Willie McTell	5:53	1990s\Bob Dylan - Blind Willie McTell.mp3	6369610
Brian Setzer	None	None	Jump Jive &apos;n&apos; Wail	2:52	1990s\Brian Setzer Orchestra - Jump, Jive, And Wail.mp3	2753536
Digable Planets	Reachin' (A New Refutation Of Time And Space)	None	Rebirth Of Slick (Cool Like Dat)	4:21	1990s\Digable Planets - Rebirth Of Slick (Cool Like Dat).mp3	4181386
DM3	Dig It The Most	8	TV Sound	3:29	1990s\DM3-TV Sound.mp3	4184064
Selena	Ones [Bonus DVD] (1 of 2)	10	Fotos y Recuerdos	2:35	1990s\Fotos y Recuerdos-Selena.mp3	3735931
Frente!	Marvin The Album	14	Bizarre Love Triangle	2:00	1990s\Frente - Bizarre Love Triangle.mp3	2901308
Guided By Voices	Vampire On Titus - Propeller	28	14 Cheerleader Coldfront	1:30	1990s\GBV-14 Cheerleader Coldfront.mp3	1816576
Gin Blossoms	Outside Looking in	14	Until I Hear It From You	3:51	1990s\Gin Blossoms-Until I Hear It From You.mp3	5543855
Green Day	Nimrod	None	Good Riddance (Time of Life)	2:34	1990s\Green Day - Time of Your Life.mp3	2467479
None	None	None	None	4:33	1990s\Hippie Chick-SOHO.mp3	4358562
Right Said Fred	None	None	I&amp;apos;m Too Sexy	2:50	1990s\I'm Too Sexy-Right Said Fred.mp3	2720078
Jayhawks	Tomorrow the Green Grass	7	Blue	3:11	1990s\Jayhawks-Blue.mp3	4825984
Komeda	The Genius Of Komeda	3	Rocket Plane (Music On The Moon)	3:28	1990s\Komeda-Music On The Moon.mp3	3329841
The Clydesmen	4 track stuff	None	kylie's got a crush on us	2:54	1990s\kylie's got a crush on us.mp3	3483231
Beck	None	None	Loser	3:55	1990s\Loser-Beck.mp3	3756032
Matchbox 20	None	None	Push	4:00	1990s\Matchbox 20 - Push.mp3	3838247
Midnight Oil	Blue Sky Mining	1	Blue Sky Mine	4:16	1990s\Midnight Oil - Blue Sky Mining.mp3	6140700
Mountain Goats	Nine Black Poppies	1	Cubs In Five	2:05	1990s\Mountain Goats - Cubs In Five.mp3	1501184
None	None	None	None	5:49	1990s\Negativland U2 special edit.mp3	5577277
No Doubt	Tragic Kingdom	None	Don&apos;t Speak	4:24	1990s\No Doubt - Don't Speak.mp3	4217754
OMC	Party Power Pack (Partyhits)	50	How Bizarre	3:46	1990s\OMC - How Bizarre.mp3	4625526
Owen Paul/Owen Paul	Back To The 80's: The Long Versions, Vol 2	3	My Favorite Waste Of Time (Jumbo Mix)	7:42	1990s\owen paul - my favorite waste of time jumbo mix.mp3	119451
pavement 	www.multimania.com/mydietpill	None	summersong	3:14	1990s\Pavement - summer song (very rare - excellent song).mp3	3108584
Pere Ubu	Worlds in Collision	1	Oh Catherine	2:56	1990s\Pere Ubu - Oh Catherine.mp3	7064599
Lightning Seeds	None	None	Pure	3:47	1990s\Pure-The Lightning Seeds.mp3	3637165
Rentals	Return Of The Rentals	3	Friends Of P.	3:32	1990s\Rentals-Friends of P.mp3	8491453
None	None	None	None	3:10	1990s\Right Here, Right Now - Jesus Jones.mp3	3044945
Roger McGuinn	Back From Rio	1	Someone To Love	3:32	1990s\Roger McGuinn - Someone To Love.mp3	5107505
Belle & Sebastian	Tigermilk	3	She's Losing It	2:22	1990s\She's Losing It-Belle & Sebastian.mp3	3424381
Belle & Sebastian	The Boy With the Arab Strap	11	Simple Things	1:46	1990s\Simple Things-Belle & Sebastian.mp3	2558913
Smashing Pumpkins	Mellon Collie, Disk 2	None	1979	4:26	1990s\Smashing Pumpkins - 1979.mp3	4254949
Chris Cornell	None	None	Black Hole Sun	3:09	1990s\Soundgarden - Black Hole Sun (acoustic).MP3	3030750
None	None	None	None	3:28	1990s\Starlight Mints - Valerie Flames.mp3	3322332
Sugar Ray	14:59	None	Every Morning	3:45	1990s\Sugar Ray - Every Morning.mp3	4508642
Sugar Ray	None	1	Sweet home california	2:42	1990s\Sugar Ray - Sweet Home California.mp3	2596908
Robert Pollard	Do the Collapse	10	Surgical Focus	2:24	1990s\Surgical Focus-Robert Pollard.mp3	3487702
Robert Pollard	Do the Collapse	1	Teenage FBI	2:53	1990s\Teenage FBI-Robert Pollard.mp3	4181723
None	None	None	None	3:19	1990s\The Cardigans - Lovefool.mp3	3178579
They Might Be Giants (TMBG)	Lincoln	17	Snowball In Hell	2:32	1990s\They Might Be Giants - Snowball in Hell.mp3	2430010
Robert Pollard	Do the Collapse	9	Things I Will Keep	1:47	1990s\Things I Will Keep-Robert Pollard.mp3	2594314
Us 3	None	None	Cantaloop (Flip Fantasia)	4:39	1990s\US3 - Cantaloop.mp3	4469236
Material Issue	International Pop Overthrow	1	Valerie Loves Me	3:06	1990s\Valerie Loves Me.mp3	4471657
Spice Girls	None	None	If You Wanna Be My Lover	2:55	1990s\Wannabe-Spice Girls.mp3	2800454
Belle & Sebastian	Tigermilk	4	You're Just a Baby	3:41	1990s\You're Just a Baby-Belle & Sebastian.mp3	5334037
Barenaked Ladies	Disc One: All Their Greatest Hits (1991-2001)	2	Falling for the First Time	3:39	1990s\Barenaked Ladies\Falling for the First Time.mp3	5270384
Barenaked Ladies	Disc One: All Their Greatest Hits (1991-2001)	8	If I Had $1000000	4:25	1990s\Barenaked Ladies\If I Had $1000000.mp3	6375677
Barenaked Ladies	Disc One: All Their Greatest Hits (1991-2001)	12	Jane	4:04	1990s\Barenaked Ladies\Jane.mp3	5888546
Barenaked Ladies	Disc One: All Their Greatest Hits (1991-2001)	15	Shoebox	3:09	1990s\Barenaked Ladies\Shoebox.mp3	4558809
Hole	Doll Parts	None	Doll Parts	3:31	1990s\Jason Falkner\Hole- Doll Parts.mp3	3383379
Radiohead	Pablo Honey	None	Creep	3:57	1990s\Radiohead\Radiohead - Creep.mp3	3788381
Radiohead	The Bends	None	Fake Plastic Trees	4:50	1990s\Radiohead\Radiohead - Fake Plastic Trees.mp3	4640600
20/20	20/20	1	The Sky Is Falling 7/79	1:11	20-20\20-20-Look Out!\01-The Sky Is Falling 7-79.mp3	2308522
20/20	20/20	2	Yellow Pills	4:17	20-20\20-20-Look Out!\02-Yellow Pills.mp3	8274585
20/20	20/20	3	Cheri	3:18	20-20\20-20-Look Out!\03-Cheri.mp3	6376173
20/20	20/20	4	Out of This Time	3:14	20-20\20-20-Look Out!\04-Out of This Time.mp3	6248431
20/20	20/20	5	Tell Me Why (Can't Understand You)	4:21	20-20\20-20-Look Out!\05-Tell Me Why (Can't Understand You).mp3	8391071
20/20	20/20	6	Tonight We Fly	2:43	20-20\20-20-Look Out!\06-Tonight We Fly.mp3	5278170
20/20	20/20	7	Remember the Lightning	2:49	20-20\20-20-Look Out!\07-Remember the Lightning.mp3	5446007
20/20	20/20	8	She's an Obsession	3:00	20-20\20-20-Look Out!\08-She's an Obsession.mp3	5806718
20/20	20/20	9	Leaving Your World Behind	4:27	20-20\20-20-Look Out!\09-Leaving Your World Behind.mp3	8580593
20/20	20/20	10	Backyard Guys	2:52	20-20\20-20-Look Out!\10-Backyard Guys.mp3	5541184
20/20	20/20	11	Jet Lag	4:05	20-20\20-20-Look Out!\11-Jet Lag.mp3	7869992
ccc	Revolved	1	Tax Jam Pollution	3:17	2000s\01_Tax_Jam_Pollution.mp3	4733277
ccc	Revolved	6	That's All Yellow	2:24	2000s\06_That's_All_Yellow.mp3	3479451
ccc	Revolved	8	Sunshine a Go Go	4:42	2000s\08_Sunshine_a_Go_Go.mp3	6785925
ccc	Revolved	10	Close To No One	2:36	2000s\10_Close_To_No_One.mp3	3772806
ccc	Revolved	11	Pleasant Dr. Robert	3:00	2000s\11_Pleasant_Dr_Robert.mp3	4343951
Go Home Productions	AllenDean Project	None	Abba & The Bunnymen	3:10	2000s\abbab.mp3	4577732
? ? ?	None	None	? ? ? ? ? ?	5:15	2000s\artist_a_vs_artist_b.mp3	6301214
Coldplay	None	None	Yellow	4:33	2000s\Coldpay - Yellow.mp3	4373141
Go Home Productions	AllenDean Project	None	Crazy Little Fool	2:34	2000s\crazyfoo.mp3	3714435
Fountains of Wayne	Scary Movie	1	Too Cool for School	2:27	2000s\Fountains of Wayne - Too Cool for School.mp3	2369521
Go Home Productions	Beatleg Bootles Part1	None	Beatleg Bootles Part1	15:13	2000s\Go_Home_Productions-Beatleg_Bootles_Part_1.mp3	14592000
Go Home Productions	(None)	None	Sexual High	4:12	2000s\go_home_productions-sexual_high.mp3	4029653
Jack Off Jill	Clear Hearts Grey Flowers	15	Lovesong	3:35	2000s\Jack Of Jill - Lovesong.mp3	5432001
Go Home Productions	None	None	Jacko Under Pressure	3:31	2000s\jackopr.mp3	4227179
Go Home Productions	None	None	A Day In The Life of the Karma Police	3:15	2000s\karma.mp3	3901212
Go Home Productions	None	None	Who Fooled Kylie	3:21	2000s\kyliewho.mp3	4835196
AllenDean	None	None	I Just Wasn't Made For The Back Seat Of My Car	3:40	2000s\madefor.mp3	5282380
Nickel Creek	This Side	2	Nickel Creek - Spit On A Stranger - This Side - 02	2:34	2000s\Nickel Creek - Spit On A Stranger.mp3	2481476
Go Home Productions	AllenDean Project EP	None	Rapture Riders (Blondie vs The Doors)	5:38	2000s\raprider.mp3	8119026
Hard 'n Phirm	Blood Pudding	None	Rodeohead	4:55	2000s\Rodeohead.mp3	4713062
rx	the party party	None	sunday bloody sunday	3:09	2000s\sunday_bloody_sunday.mp3	3030649
Ted Leo/Pharmacists	Treble In Trouble EP	None	Come Baby Come	3:40	2000s\Ted_Leo_Pharmacists-Come_Baby_Come.mp3	3518324
The Hives	Veni Vidi Vicious	None	Hate to Say I Told You So	3:21	2000s\The Hives - Hate To Say I Told You So.mp3	4035523
	None	2	It's Great To Be An Engine	2:59	2000s\Thomas the Tank Engine [Song] 02 - It's Great To Be An Engine.mp3	2874616
The 88	Over and Over	1	Hide Another Mistake	2:36	2005\88_Hide Another Mistake.mp3	4072706
Architecture In Helsinki	In Case We Die	2	It'5!	2:07	2005\Architecture In Helsinki - It'5.mp3	3120155
Bloc Party	Silent Alarm	4	Banquet	3:22	2005\Bloc Party - Banquet.mp3	4837467
The Coral	The Invisible Invasion	6	In the Morning	2:33	2005\Coral - In The Morning.mp3	3700596
Daniel Powter	Daniel Powter	3	Bad Day	3:54	2005\Daniel Powter - Bad Day.mp3	5630884
The Decemberists	Picaresque	8	The Engine Driver	4:15	2005\Decemberists - Engine Driver.mp3	6361454
Echo and the Bunnymen	Siberia	1	Stormy Weather 	4:24	2005\Echo and the Bunnymen - Stormy Weather.mp3	6952169
Eels	Blinking Lights And Other Revelations	13	Going Fetal	2:21	2005\Eels-Going Fetal.mp3	3570346
Fountains of Wayne	Out-of-State Plates Disc 2	2	The Girl I Can't Forget	3:24	2005\Fountains Of Wayne - The Girl I Can't Forget.mp3	4908564
The Go-Betweens	Oceans Apart	2	Finding You	4:02	2005\Go-Betweens - Finding You.mp3	5357616
The Green Pajamas	21st Century Seance	9	Chip Chop	3:27	2005\Green Pajamas - Chip Chop.mp3	5193767
Immaculate Machine	Ones And Zeros	1	Broken Ship	3:33	2005\Immaculate Machine - Broken Ship.mp3	4268512
Jennifer Gentle	Valende	2	I Do Dream You	2:24	2005\Jennifer Gentle - I Do Dream You.mp3	2891402
Josh Rouse	Nashville	2	Winter In The Hamptons 	3:08	2005\Josh Rouse - Winter in the Hamptons.mp3	5249256
Kimberley Rew	Essex Hideaway	5	Tourists of Insanity	3:26	2005\Kimberley Rew - Tourists of Insanity.mp3	4983307
The Kingsbury Manx	The Fast Rise And Fall Of The South	9	Ruins	3:03	2005\Kingsbury Manx - Ruins.mp3	4499454
Lake Holiday	bless my soul	None	American Summer	4:09	2005\Lake Holiday - American Summer.mp3	3996943
The Mountain Goats	The Sunset Tree	3	This Year	3:52	2005\Mountain Goats - This Year.mp3	5811132
The New Pornographers	Twin Cinema	5	Jackie, Dressed In Cobras	3:06	2005\New Pornographers - Jackie Dressed in Cobras.mp3	4550541
The Orange Peels	Circling The Sun	3	Circling The Sun	2:47	2005\Orange Peels - Circling The Sun.mp3	4543273
Oranger	New Comes And Goes	2	New Comes And Goes	3:27	2005\Oranger - New Comes And Goes.mp3	4681705
Oranger	New Comes And Goes	6	Radio Wave	3:09	2005\Oranger- Radio Wave.mp3	5738999
Outrageous Cherry	Our Love Will Change The World	2	(You're Not) A Nice Girl	2:44	2005\Outrageous Cherry - (You're Not) A Nice Girl.mp3	3667466
Pernice Brothers	Discover A Lovelier You	6	Dumb It Down	2:23	2005\Pernice Brothers - Dumb it Down.mp3	3777899
Portastatic	Bright Ideas	2	Through With People	3:15	2005\Portastatic - Through With People.mp3	5676894
Richard Thompson	Front Parlour Ballads	11	A Solitary Life	4:10	2005\Richard Thompson - Solitary Life.mp3	6263564
Rogue Wave	Descended Like Vultures	6	10:1	3:20	2005\Rogue Wave - 10-1.mp3	4815916
Sloan	A Sides Win : Singles 1992-2005	16	Try To Make It	3:44	2005\Sloan - Try To Make It.mp3	6412234
Spoon	Gimme Fiction	6	Sister Jack	3:35	2005\Spoon - Sister Jack.mp3	6633110
Sufjan Stevens	Illinoise	7	Decatur, Or, Round Of Applause for Your Step-Mother!	3:05	2005\Sufjan Stevens - Decatur.mp3	4500027
Chris Von Sneidern	California Redemption Value	4	You Walked Away	2:55	2005\Von Sneidern - You Walked Away.mp3	4228843
Wammo	Lowriders On The Storm	4	Lowriders On The Storm	3:34	2005\Wammo - Lowriders on the Storm.mp3	5534933
William Duke	None	None	A Part Of Me	3:15	2005\William Duke - A Part Of Me.mp3	1975433
Saul Zonana	42 Days	5	Hey Now	4:36	2005\Zonana - Hey Now.mp3	7997153
Richard Cheese	Aperitif For Destruction	11	Sunday Bloody Sunday	1:36	2006\01_Sunday Bloody Sunday - Richard Cheese.mp3	2500310
Belle and Sebastian	The Life Pursuit	2	Another Sunny Day	4:04	2006\02_Another Sunny Day - Belle & Sebastian.mp3	6489515
Supraluxe	Supraluxe	6	Blue Sky	4:10	2006\03_Blue Sky - Supraluxe.mp3	5677989
Jon Auer	Songs From The Year Of Our Demise	10	Cemetery Song	2:58	2006\04_Cemetery Song - Jon Auer.mp3	3295880
Matthew Sweet/Susanna Hoffs	Under the Covers, Vol. 1	8	Different Drum	2:49	2006\05_Different Drum - Matthew Sweet & Susanna Hoffs.mp3	4072228
Jim Noir	Tower of Love	7	Eanie Meanie	2:46	2006\06_Eanie Meanie - Jim Noir.mp3	4010581
Fields	7 From The Village	1	Song For The Fields	4:52	2006\07_Fields - Song For The Fields.mp3	7248324
Gomez	How We Operate	5	Girlshapedlovedrug	4:00	2006\08_Girlshapedlovedrug - Gomez.mp3	5456053
Neko Case	Fox Confessor Brings the Flood	3	Hold On, Hold On	2:46	2006\09_Hold On, Hold On - Neko Case.mp3	4224706
Bye Bye Blackbirds	None	1	In Every Season	4:08	2006\10_ In Every Season - Bye Bye Blackbirds.mp3	9933973
Skygreen Leopards	Disciples of California	8	Jesus Was Californian	3:40	2006\11_Jesus Was Californian - Skygreen Leopards.mp3	4090499
Tommy Keene	Crashing the Ether	3	Quit That Scene	3:24	2006\11_Quit That Scene - Tommy Keene.mp3	4686526
Camera Obscura	Let's Get Out of This Country	1	Lloyd, I'm Ready to Be Heartbroken	3:49	2006\12_Lloyd, I'm Ready to Be Heartbroken - Camera Obscura.mp3	5137127
The Loud Family	What If It Works	8	Mavis of Maybelline Towers	3:17	2006\13_Mavis of Maybelline Towers - Loud Family & Anton Barbeau.mp3	4774732
Grizzly Bear	Yellow House	8	On a Neck, on a Spit	5:46	2006\14_On A Neck, On a Spit - Grizzly Bear.mp3	8329564
The Minus 5	The Minus 5	3	Out There on the Maroon	2:36	2006\14_Out There on the Moon - Minus Five.mp3	3701124
Film School	Film School	4	Pitfalls	5:01	2006\15_Pitfalls - Film School.mp3	4827510
Beirut	Gulag Orkestar	4	Postcards from Italy	4:17	2006\15_Postcards from Italy - Beirut.mp3	5839688
None	None	15	Track 15	4:08	2006\15_Punkrocker_TeddyBears.mp3	5962915
Josh Rouse	Subtitulo	1	Quiet Town	2:34	2006\16_Quiet Town.mp3	3419409
The Raconteurs	Steady As She Goes (Acoustic)	1	Steady As She Goes (Acoustic)	4:13	2006\17_Steady As She Goes - The Raconteurs.mp3	5392831
The Hold Steady	Boys and Girls in America	1	Stuck Between Stations	4:12	2006\18_Stuck Between Stations - The Hold Steady.mp3	6127588
The Format	Dog Problems	3	Time Bomb	4:01	2006\19_Time Bomb - The Format.mp3	6457017
Robyn Hitchcock and the Venus 3	Ole! Tarantula	2	Underground Sun	3:57	2006\20_Underground Sun - Robyn Hitchcock.mp3	5755519
David Wolfenberger	Portrait of Narcissus	5	Vespa Girl	3:37	2006\21_Vespa Girl - David Wolfenberger.mp3	3940426
Daniel Wylie	The High Cost Of Happiness	11	Where The Time Goes	2:14	2006\22_Where The Time Goes - Daniel Wylie.mp3	4020639
Field Music	Field Music	9	You Can Decide	2:15	2006\23_You Can Decide - Field Music.mp3	3506786
Ben Folds	b: Blue Flag: Canton	None	Such Great Heights	4:42	2006\Ben Folds - Such Great Heights.mp3	7308696
The Bye Bye Blackbirds	None	1	One Hundred Years From Now	2:52	2006\Bye Bye Blackbirds - 100 Years.mp3	6911304
The Bye Bye Blackbirds	Honeymoon	5	How I Knew It Wasn't Love	5:19	2006\Bye Bye Blackbirds - How I Knew It Wasn't Love.mp3	12786544
The Bye Bye Blackbirds	Honeymoon	1	In Every Season	4:08	2006\Bye Bye Blackbirds - In Every Season.mp3	9964957
Figurines	Skeleton	None	The Wonder	3:07	2006\figurines - the wonder.mp3	4487619
Film School	Film School	4	Pitfalls	5:01	2006\Film School - Pitfalls.mp3	4827510
The Hold Steady	Boys and Girls in America	2	Chips Ahoy!	3:11	2006\Hold Steady - Chips Ahoy.mp3	4599808
Anton Barbeau	In the Village of the Apple Sun	17	Village of the Apple Sun	3:44	2006\In the Village of the Apple Sun - Anton Barbeau.mp3	7291682
Tommy Keene	Crashing The Ether	6	Lives Become Lies	5:08	2006\Lives Become Lies - Tommy Keene.mp3	4921115
Math & Physics Club	Math & Physics Club	1	Darling, Please Come Home	3:12	2006\Math & Physics Club - Darling, Please Come Home.mp3	3859999
PAS/CAL	Dear Sir	1	Little Red Radio	3:02	2006\Pascal - Little Red Radio.mp3	3644689
Readyville	None	3	El Camino is a Car	4:52	2006\Readyville - An El Camino is a Car.mp3	2051265
Sky Larkin	None	None	Keepsakes	2:14	2006\Sky Larkin - Keepsakes.mp3	3230511
The Amateurs	None	None	Things You Only Know If You Don't Drive	3:29	2006\The Amateurs - Things You Only Know If You Don't Drive.mp3	4199363
Tommy Keene	Crashing The Ether	2	Warren In The 60's	3:26	2006\Tommy Keene - Warren in the 60s.mp3	3300237
None	None	2	My Son Spells Backwards	1:54	2006\Victorian Gentleman's Club - My Son Spells Backwards.mp3	1837695
Fiery Furnaces	KEXP Session Museum Of Television & Radio NYC 4-6-05	3	Here Comes The Summer	2:26	2007\03 Here Comes The Summer.mp3	4809165
Regina Spektor	Begin To Hope	12	Summer In The City	3:50	2007\12 Summer In The City.mp3	4658656
A Sunny Day In Glasgow	Scribble Mural Comic Journal	13	The Best Summer Ever	4:43	2007\13-a_sunny_day_in_glasgow-the_best_summer_ever.mp3	6847869
Bruce Springsteen	None	None	Radio Nowhere	3:19	2007\Bruce Springsteen - Radio Nowhere.mp3	3186399
Darkufo	Collection	7	Alone Again Or...	3:03	2007\Darkufo - Alone Again Or.mp3	4390287
Feist	The Reminder	1	So Sorry	3:12	2007\Feist_So_Sorry.mp3	4078096
The Frames	Cost	9	Side You Never Get to See	3:40	2007\Frames_Side_You_Never_Get_to_See.mp3	6054797
Future Clouds & Radar	None	None	Drugstore Bust	3:33	2007\Future Clouds - Drugstore Bust.mp3	4259013
Hoku	None	None	Another Dumb Blonde	3:51	2007\Hoku-Another Dumb Blonde.mp3	3695038
LCD Soundsystem	Sound Of Silver	10	Someone Great	6:28	2007\LCD Soundsystem - Someone Great.mp3	7761132
Lily Allen	None	None	Mr. Blue Sky	3:41	2007\Lily Allen - Mr. Blue Sky.mp3	3540807
Iggy and the Stooges	Skull Ring	None	Little Know It All	3:28	2007\lkia.mp3	3332934
Mika	Life in Cartoon Motion	9	Stuck In The Middle	4:11	2007\Mika_Stuck_In_The_Middle.mp3	10043603
Odawas	None	1	I Tell Lies	4:10	2007\Odawas - I Tell Lies (Odawas Remix).mp3	6003857
Paolo Nutini	These Streets (Special Edition)	6	New Shoes	3:23	2007\Paolo Nutini - New Shoes.mp3	4367694
